"File","Attribute","Link"
"assistenza.html","href","#"
"assistenza.html","href","assistenza.html"
"assistenza.html","href","contatti.html"
"assistenza.html","href","Contratto_Intervento_remoto.pdf"
"assistenza.html","href","default.css"
"assistenza.html","href","default_ie6.css"
"assistenza.html","href","firma_digitale.html"
"assistenza.html","href","fonts.css"
"assistenza.html","href","forniture_mepa.html"
"assistenza.html","href","gestionale_azienda.html"
"assistenza.html","href","gestionale_ordini.html"
"assistenza.html","href","http://www.zucchetti.it/website/cms/home.html"
"assistenza.html","href","https:///www.yashiweb.com/"
"assistenza.html","href","https://anydesk.it/download?os=win"
"assistenza.html","href","https://dribbble.com"
"assistenza.html","href","https://fonts.googleapis.com/css?family=Source+Sans+Pro:200,300,400,600,700,900"
"assistenza.html","href","https://it-it.facebook.com/"
"assistenza.html","href","https://logins.livecare.net/liveletexecustom/2Q5CT3D5CIP23I9P"
"assistenza.html","href","https://store.hp.com"
"assistenza.html","href","https://twitter.com/search-home"
"assistenza.html","href","https://www.dell.com/it-it"
"assistenza.html","href","https://www.google.it"
"assistenza.html","href","https://www.isasrl.it/Supremo_ISAsrl.exe"
"assistenza.html","href","https://www.tumblr.com/"
"assistenza.html","href","https://zutec.it/"
"assistenza.html","href","index.html"
"assistenza.html","href","mailto:info@isasrl.it"
"assistenza.html","href","privacy.html"
"assistenza.html","href","servizi.html"
"assistenza.html","href","servizi_backup.html"
"assistenza.html","href","servizi_fatel.html"
"assistenza.html","href","whistleblowing.html"
"assistenza.html","src","images/assistenza.jpg"
"assistenza.html","src","images/DELL_LOGO.jpg"
"assistenza.html","src","images/firma-digitale-mini.png"
"assistenza.html","src","images/HP_LOGO.jpg"
"assistenza.html","src","images/logo.png"
"assistenza.html","src","images/whistleblowing_mini.jpg"
"assistenza.html","src","images/yashi_logo.jpg"
"assistenza.html","src","images/zucchetti_logo.jpg"
"assistenza_1.html","href","#"
"assistenza_1.html","href","assistenza.html"
"assistenza_1.html","href","contatti.html"
"assistenza_1.html","href","Contratto_Intervento_remoto.pdf"
"assistenza_1.html","href","default.css"
"assistenza_1.html","href","default_ie6.css"
"assistenza_1.html","href","firma_digitale.html"
"assistenza_1.html","href","fonts.css"
"assistenza_1.html","href","forniture_mepa.html"
"assistenza_1.html","href","gestionale_azienda.html"
"assistenza_1.html","href","gestionale_ordini.html"
"assistenza_1.html","href","http://www.zucchetti.it/website/cms/home.html"
"assistenza_1.html","href","https:///www.yashiweb.com/"
"assistenza_1.html","href","https://anydesk.it/download?os=win"
"assistenza_1.html","href","https://dribbble.com"
"assistenza_1.html","href","https://fonts.googleapis.com/css?family=Source+Sans+Pro:200,300,400,600,700,900"
"assistenza_1.html","href","https://it-it.facebook.com/"
"assistenza_1.html","href","https://store.hp.com"
"assistenza_1.html","href","https://twitter.com/search-home"
"assistenza_1.html","href","https://www.dell.com/it-it"
"assistenza_1.html","href","https://www.google.it"
"assistenza_1.html","href","https://www.isasrl.it/FILES/LiveLet.exe"
"assistenza_1.html","href","https://www.isasrl.it/Supremo_ISAsrl.exe"
"assistenza_1.html","href","https://www.tumblr.com/"
"assistenza_1.html","href","https://zutec.it/"
"assistenza_1.html","href","index.html"
"assistenza_1.html","href","mailto:info@isasrl.it"
"assistenza_1.html","href","privacy.html"
"assistenza_1.html","href","servizi.html"
"assistenza_1.html","href","servizi_backup.html"
"assistenza_1.html","href","servizi_fatel.html"
"assistenza_1.html","href","whistleblowing.html"
"assistenza_1.html","src","images/assistenza.jpg"
"assistenza_1.html","src","images/DELL_LOGO.jpg"
"assistenza_1.html","src","images/firma-digitale-mini.png"
"assistenza_1.html","src","images/HP_LOGO.jpg"
"assistenza_1.html","src","images/logo.png"
"assistenza_1.html","src","images/whistleblowing_mini.jpg"
"assistenza_1.html","src","images/yashi_logo.jpg"
"assistenza_1.html","src","images/zucchetti_logo.jpg"
"contatti.html","href","#"
"contatti.html","href","assistenza.html"
"contatti.html","href","contatti.html"
"contatti.html","href","default.css"
"contatti.html","href","default_ie6.css"
"contatti.html","href","firma_digitale.html"
"contatti.html","href","fonts.css"
"contatti.html","href","forniture_mepa.html"
"contatti.html","href","gestionale_azienda.html"
"contatti.html","href","gestionale_ordini.html"
"contatti.html","href","http://www.zucchetti.it/website/cms/home.html"
"contatti.html","href","https:///www.yashiweb.com/"
"contatti.html","href","https://dribbble.com"
"contatti.html","href","https://fonts.googleapis.com/css?family=Source+Sans+Pro:200,300,400,600,700,900"
"contatti.html","href","https://it-it.facebook.com/"
"contatti.html","href","https://store.hp.com"
"contatti.html","href","https://twitter.com/search-home"
"contatti.html","href","https://www.dell.com/it-it"
"contatti.html","href","https://www.google.it"
"contatti.html","href","https://www.tumblr.com/"
"contatti.html","href","https://zutec.it/"
"contatti.html","href","index.html"
"contatti.html","href","mailto:info@isasrl.it"
"contatti.html","href","mailto:roberto.gallo@isasrl.it"
"contatti.html","href","privacy.html"
"contatti.html","href","servizi.html"
"contatti.html","href","servizi_backup.html"
"contatti.html","href","servizi_fatel.html"
"contatti.html","href","whistleblowing.html"
"contatti.html","src","https://maps.google.it/maps?f=q&amp;source=s_q&amp;hl=it&amp;geocode=&amp;q=ragusa+via+delle+betulle,+137&amp;sll=36.923477,14.717122&amp;sspn=0.009263,0.016458&amp;ie=UTF8&amp;hq=&amp;hnear=Via+delle+Betulle,+137,+97100+Ragusa,+Sicilia&amp;ll=36.92329,14.717109&amp;spn=0.008234,0.013733&amp;z=16&amp;iwloc=A&amp;output=embed"
"contatti.html","src","images/DELL_LOGO.jpg"
"contatti.html","src","images/firma-digitale-mini.png"
"contatti.html","src","images/HP_LOGO.jpg"
"contatti.html","src","images/logo.png"
"contatti.html","src","images/whistleblowing_mini.jpg"
"contatti.html","src","images/yashi_logo.jpg"
"contatti.html","src","images/zucchetti_logo.jpg"
"firma_digitale.html","href","#"
"firma_digitale.html","href","assistenza.html"
"firma_digitale.html","href","contatti.html"
